"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.871233150E-1,-8.000000119E-1,-1.840000004E-1,-2.409999967E-1,8.555331774E-1
3.921040050E-1,-9.020000100E-1,-1.940000057E-1,-2.739999890E-1,9.624531232E-1
3.970846220E-1,-1.013000011E0,-1.990000010E-1,-3.249999881E-1,1.082310037E0
4.020654460E-1,-1.136999965E0,-1.949999928E-1,-3.519999981E-1,1.206108584E0
4.070460640E-1,-1.203999996E0,-2.290000021E-1,-3.470000029E-1,1.273760572E0
4.120266790E-1,-1.223000050E0,-3.310000002E-1,-3.499999940E-1,1.314454304E0
4.170073750E-1,-1.248000026E0,-4.269999862E-1,-3.240000010E-1,1.358237480E0
4.219879920E-1,-1.296000004E0,-5.120000243E-1,-2.479999959E-1,1.415367102E0
4.269688460E-1,-1.404999971E0,-5.279999971E-1,-1.840000004E-1,1.512172251E0
4.319494640E-1,-1.574000001E0,-5.189999938E-1,-1.529999971E-1,1.664405598E0
4.369301540E-1,-1.690000057E0,-5.249999762E-1,-1.729999930E-1,1.778104093E0
4.419108150E-1,-1.725999951E0,-5.600000024E-1,-2.259999961E-1,1.828592856E0
4.468916590E-1,-1.733000040E0,-6.359999776E-1,-2.649999857E-1,1.864942386E0
4.518722770E-1,-1.715000033E0,-7.139999866E-1,-2.590000033E-1,1.875660443E0
4.568529960E-1,-1.705999970E0,-7.540000081E-1,-2.489999980E-1,1.881741988E0
4.618336140E-1,-1.684999943E0,-7.630000114E-1,-2.430000007E-1,1.865594496E0
4.668142330E-1,-1.577999949E0,-7.530000210E-1,-2.249999940E-1,1.762872051E0
4.717950770E-1,-1.401000023E0,-7.549999952E-1,-1.969999969E-1,1.603631833E0
4.767756950E-1,-1.207000017E0,-7.730000019E-1,-2.129999995E-1,1.449050394E0
4.817563950E-1,-1.042000055E0,-7.459999919E-1,-2.460000068E-1,1.304912298E0
4.867370120E-1,-9.660000205E-1,-6.999999881E-1,-3.109999895E-1,1.232832923E0
4.917178560E-1,-9.380000234E-1,-6.890000105E-1,-3.670000136E-1,1.220349978E0
4.966984640E-1,-9.190000296E-1,-7.149999738E-1,-3.980000019E-1,1.230524286E0
5.016791540E-1,-9.800000191E-1,-7.350000143E-1,-4.420000017E-1,1.302301447E0
5.066597440E-1,-1.069000006E0,-7.289999723E-1,-4.429999888E-1,1.367644311E0
5.116405880E-1,-1.185999990E0,-7.570000291E-1,-4.120000005E-1,1.466079472E0
5.166211900E-1,-1.353999972E0,-7.739999890E-1,-3.580000103E-1,1.600173714E0
5.216018800E-1,-1.567000031E0,-7.749999762E-1,-3.019999862E-1,1.774068221E0
5.265825170E-1,-1.827000022E0,-7.530000210E-1,-3.089999855E-1,2.000104773E0
5.315631320E-1,-2.052999973E0,-7.369999886E-1,-3.149999976E-1,2.203906276E0
5.365439760E-1,-2.250999928E0,-7.450000048E-1,-3.549999893E-1,2.397509264E0
5.415245900E-1,-2.381999969E0,-7.979999781E-1,-4.020000100E-1,2.544077795E0
5.465052800E-1,-2.539999962E0,-8.529999852E-1,-4.009999931E-1,2.709245241E0
5.514858970E-1,-2.743000031E0,-9.229999781E-1,-3.910000026E-1,2.920421053E0
5.564667370E-1,-2.999000072E0,-9.800000191E-1,-4.580000043E-1,3.188128836E0
5.614473540E-1,-3.255000114E0,-1.054000020E0,-4.839999974E-1,3.455459128E0
5.664280870E-1,-3.453000069E0,-1.123000026E0,-5.220000148E-1,3.668354201E0
5.714087050E-1,-3.502000093E0,-1.180999994E0,-5.889999866E-1,3.742417217E0
5.763893200E-1,-3.397000074E0,-1.263000011E0,-6.549999714E-1,3.682906936E0
5.813701590E-1,-3.154999971E0,-1.375000000E0,-7.279999852E-1,3.517759770E0
5.863507770E-1,-2.845000029E0,-1.491999984E0,-7.950000167E-1,3.309397852E0
5.913314670E-1,-2.551000118E0,-1.595000029E0,-8.429999948E-1,3.124464064E0
5.963120980E-1,-2.325999975E0,-1.677000046E0,-8.360000253E-1,2.986888193E0
6.012929430E-1,-2.124000072E0,-1.738000035E0,-8.280000091E-1,2.866636434E0
6.062735940E-1,-1.940999985E0,-1.792000055E0,-7.810000181E-1,2.754760637E0
6.112542840E-1,-1.792999983E0,-1.824000001E0,-6.830000281E-1,2.647322039E0
6.162349020E-1,-1.717000008E0,-1.850000024E0,-5.550000072E-1,2.584301477E0
6.212155120E-1,-1.746000051E0,-1.850999951E0,-4.219999909E-1,2.579302424E0
6.261963560E-1,-1.883000016E0,-1.876000047E0,-2.809999883E-1,2.672831126E0
6.311769740E-1,-2.069999933E0,-1.899000049E0,-1.700000018E-1,2.814249617E0
6.361576640E-1,-2.234999895E0,-1.919999957E0,-1.199999973E-1,2.948902231E0
6.411382810E-1,-2.387000084E0,-1.995000005E0,-6.899999827E-2,3.111680482E0
6.461191060E-1,-2.608000040E0,-2.117000103E0,-7.000000216E-3,3.359077648E0
6.510997230E-1,-2.946000099E0,-2.227999926E0,4.300000146E-2,3.693879973E0
6.560804130E-1,-3.355999947E0,-2.309000015E0,4.199999943E-2,4.073816480E0
6.610610120E-1,-3.750999928E0,-2.352999926E0,-2.800000086E-2,4.428023612E0
6.660416270E-1,-4.078000069E0,-2.382999897E0,-1.539999992E-1,4.725726301E0
