"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.880792400E-1,9.679999948E-1,6.199999899E-2,-1.799999923E-2,9.701504985E-1
3.930601500E-1,1.156999946E0,6.899999827E-2,8.999999613E-3,1.159090537E0
3.980410740E-1,1.350999951E0,5.200000107E-2,5.999999866E-2,1.353331027E0
4.030220060E-1,1.519999981E0,1.200000010E-2,6.899999827E-2,1.521612612E0
4.080029290E-1,1.684999943E0,-6.199999899E-2,5.999999866E-2,1.687207399E0
4.129838520E-1,1.835999966E0,-1.599999964E-1,4.500000179E-2,1.843507763E0
4.179648090E-1,1.955999970E0,-2.560000122E-1,-5.000000075E-2,1.973314950E0
4.229457320E-1,2.055000067E0,-3.409999907E-1,-2.290000021E-1,2.095649605E0
4.279266550E-1,2.127000093E0,-4.280000031E-1,-5.370000005E-1,2.235102324E0
4.329076020E-1,2.236000061E0,-5.120000243E-1,-8.489999771E-1,2.445943838E0
4.378885250E-1,2.377000093E0,-5.929999948E-1,-1.101999998E0,2.686295299E0
4.428694190E-1,2.559999943E0,-6.750000119E-1,-1.256000042E0,2.930317530E0
4.478502660E-1,2.766999960E0,-7.530000210E-1,-1.348999977E0,3.169084844E0
4.528312640E-1,2.966000080E0,-8.450000286E-1,-1.462000012E0,3.413008286E0
4.578120830E-1,3.121000051E0,-9.599999785E-1,-1.524999976E0,3.603868228E0
4.627930040E-1,3.201999903E0,-1.064000010E0,-1.559999943E0,3.717324202E0
4.677739270E-1,3.246999979E0,-1.123999953E0,-1.529000044E0,3.760881000E0
4.727548410E-1,3.299000025E0,-1.151000023E0,-1.455000043E0,3.784868207E0
4.777357640E-1,3.355000019E0,-1.151000023E0,-1.350999951E0,3.795527243E0
4.827167250E-1,3.403000116E0,-1.144999981E0,-1.254999995E0,3.803479951E0
4.876976480E-1,3.424000025E0,-1.166000009E0,-1.159999967E0,3.798543420E0
4.926785710E-1,3.421999931E0,-1.228999972E0,-1.014000058E0,3.774747751E0
4.976594560E-1,3.417999983E0,-1.296000004E0,-8.780000210E-1,3.759418031E0
5.026403800E-1,3.405999899E0,-1.360999942E0,-7.429999709E-1,3.742352884E0
5.076210730E-1,3.421000004E0,-1.389000058E0,-6.320000291E-1,3.745929287E0
5.126022110E-1,3.448999882E0,-1.401999950E0,-4.900000095E-1,3.755170310E0
5.175831360E-1,3.471999884E0,-1.424000025E0,-4.180000126E-1,3.775881788E0
5.225638380E-1,3.516999960E0,-1.460999966E0,-3.549999893E-1,3.824896680E0
5.275449900E-1,3.517999887E0,-1.562000036E0,-3.330000043E-1,3.863554882E0
5.325256840E-1,3.535000086E0,-1.705000043E0,-3.379999995E-1,3.939225146E0
5.375066150E-1,3.549999952E0,-1.769999981E0,-3.939999938E-1,3.986306008E0
5.424875390E-1,3.523999929E0,-1.750000000E0,-4.410000145E-1,3.959236860E0
5.474684620E-1,3.473000050E0,-1.715999961E0,-4.699999988E-1,3.902215423E0
5.524493660E-1,3.470000029E0,-1.695000052E0,-5.379999876E-1,3.899149826E0
5.574302890E-1,3.539999962E0,-1.766000032E0,-5.490000248E-1,3.993965056E0
5.624112120E-1,3.611000061E0,-1.911000013E0,-5.899999738E-1,4.127873843E0
5.673920600E-1,3.657999992E0,-2.069000006E0,-7.360000014E-1,4.266546727E0
5.723729810E-1,3.730999947E0,-2.213000059E0,-7.919999957E-1,4.409647815E0
5.773539230E-1,3.720000029E0,-2.256000042E0,-9.440000057E-1,4.451861679E0
5.823348460E-1,3.691999912E0,-2.273999929E0,-1.039000034E0,4.458863095E0
5.873157740E-1,3.621000051E0,-2.299999952E0,-9.900000095E-1,4.402469895E0
5.922966980E-1,3.548000097E0,-2.346999884E0,-9.549999833E-1,4.359901159E0
5.972776210E-1,3.473999977E0,-2.434000015E0,-1.003999949E0,4.359019134E0
6.022585440E-1,3.404000044E0,-2.447999954E0,-8.740000129E-1,4.282965806E0
6.072394670E-1,3.190000057E0,-2.309000015E0,-5.960000157E-1,3.982812757E0
6.122203660E-1,2.890000105E0,-2.105999947E0,-3.350000083E-1,3.591595939E0
6.172012890E-1,2.595000029E0,-1.991000056E0,-5.700000003E-2,3.271292615E0
6.221822120E-1,2.447000027E0,-2.036999941E0,2.370000035E-1,3.192702130E0
6.271631110E-1,2.483999968E0,-2.145999908E0,4.390000105E-1,3.311841248E0
6.321440340E-1,2.586999893E0,-2.193000078E0,6.420000196E-1,3.451663630E0
6.371249570E-1,2.638000011E0,-2.217000008E0,8.050000072E-1,3.538666148E0
6.421058610E-1,2.641999960E0,-2.305000067E0,9.750000238E-1,3.639205153E0
6.470867850E-1,2.575999975E0,-2.428999901E0,1.307999969E0,3.774477488E0
6.520677130E-1,2.372999907E0,-2.407999992E0,1.687999964E0,3.778747993E0
6.570486370E-1,2.036000013E0,-2.236000061E0,1.911999941E0,3.577811636E0
6.620295700E-1,1.633999944E0,-2.038000107E0,1.889999986E0,3.224205359E0
6.670102620E-1,1.205000043E0,-1.878999949E0,1.850999951E0,2.899804602E0
6.719911830E-1,9.829999804E-1,-1.799000025E0,1.845000029E0,2.758027403E0
6.769721350E-1,1.014000058E0,-1.753999949E0,1.689000010E0,2.637694632E0
6.819530580E-1,9.720000029E-1,-1.636999965E0,1.422000051E0,2.376265354E0
6.869339810E-1,8.059999943E-1,-1.575000048E0,1.379999995E0,2.243805056E0
6.919148950E-1,5.370000005E-1,-1.629999995E0,1.506999969E0,2.283925982E0
6.968958180E-1,2.939999998E-1,-1.802000046E0,1.643000007E0,2.456234758E0
7.018767550E-1,1.689999998E-1,-1.889999986E0,1.646999955E0,2.512622096E0
7.068576780E-1,1.689999998E-1,-1.835000038E0,1.498999953E0,2.375455114E0
7.118386010E-1,1.669999957E-1,-1.546000004E0,1.445000052E0,2.122741191E0
