"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.104125430E-1,-4.009999931E-1,8.928000450E0,2.101000023E1,2.283177835E1
4.153935450E-1,-3.939999938E-1,8.831999779E0,2.018199921E1,2.203344158E1
4.203744630E-1,-1.289999932E-1,8.491000175E0,1.924300003E1,2.103346798E1
4.253556150E-1,1.689999998E-1,8.090000153E0,1.830400085E1,2.001282366E1
4.303366170E-1,2.469999939E-1,7.702000141E0,1.744499969E1,1.907117798E1
4.353178020E-1,8.900000155E-2,7.388000011E0,1.689299965E1,1.843811005E1
4.402987280E-1,-3.289999962E-1,7.151999950E0,1.654700089E1,1.802949202E1
4.452797260E-1,-8.470000029E-1,6.967000008E0,1.630800056E1,1.775408067E1
4.502608790E-1,-1.345000029E0,6.731999874E0,1.625200081E1,1.764245951E1
4.552418050E-1,-1.748999953E0,6.373000145E0,1.633699989E1,1.762304449E1
4.602228030E-1,-2.154000044E0,5.940000057E0,1.643600082E1,1.760867513E1
4.652039560E-1,-2.572999954E0,5.426000118E0,1.659000015E1,1.764340985E1
4.701848810E-1,-2.880000114E0,4.849999905E0,1.674200058E1,1.766667720E1
4.751658790E-1,-3.023999929E0,4.260000229E0,1.683300018E1,1.762504107E1
4.801468050E-1,-3.124000072E0,3.730000019E0,1.692399979E1,1.760948737E1
4.851280280E-1,-3.237999916E0,3.316999912E0,1.694300079E1,1.756565990E1
4.901089530E-1,-3.390000105E0,2.969000101E0,1.697900009E1,1.756682972E1
4.950901050E-1,-3.588000059E0,2.592000008E0,1.707500076E1,1.763938376E1
5.000710440E-1,-3.852999926E0,2.118999958E0,1.723299980E1,1.778516380E1
5.050520420E-1,-4.151000023E0,1.567999959E0,1.744700050E1,1.800242349E1
5.100331960E-1,-4.462999821E0,9.869999886E-1,1.759399986E1,1.817804631E1
5.150141170E-1,-4.829999924E0,2.849999964E-1,1.742799950E1,1.808715817E1
5.199951150E-1,-5.296999931E0,-7.049999833E-1,1.711199951E1,1.792695625E1
5.249762400E-1,-5.737999916E0,-1.781000018E0,1.684900093E1,1.788813675E1
5.299571650E-1,-5.986999989E0,-2.608000040E0,1.624699974E1,1.751030650E1
5.349381630E-1,-6.001999855E0,-3.466000080E0,1.525699997E1,1.675748212E1
5.399193210E-1,-5.890999794E0,-4.280000210E0,1.399100018E1,1.577245594E1
5.449003230E-1,-5.925000191E0,-4.959000111E0,1.286800003E1,1.500942151E1
5.498812460E-1,-6.021999836E0,-5.452000141E0,1.186100006E1,1.437609509E1
5.548623980E-1,-6.249000072E0,-5.836999893E0,1.118999958E1,1.408320490E1
5.598433230E-1,-6.570000172E0,-6.138999939E0,1.086100006E1,1.410012570E1
5.648243310E-1,-6.836999893E0,-6.383999825E0,1.083100033E1,1.431120503E1
5.698054850E-1,-6.967000008E0,-6.622000217E0,1.100199986E1,1.460937975E1
5.747864100E-1,-7.004000187E0,-6.855999947E0,1.123900032E1,1.491227287E1
5.797674130E-1,-6.868000031E0,-7.170000076E0,1.141499996E1,1.512879868E1
5.847485670E-1,-6.440000057E0,-7.589000225E0,1.145499992E1,1.517509632E1
5.897294920E-1,-5.842999935E0,-8.031000137E0,1.133300018E1,1.506899149E1
5.947105140E-1,-5.390999794E0,-8.319999695E0,1.113300037E1,1.490734621E1
5.996916680E-1,-4.952000141E0,-8.508000374E0,1.088399982E1,1.467548391E1
6.046726700E-1,-4.234000206E0,-8.821000099E0,1.064200020E1,1.445645076E1
6.096535930E-1,-3.492000103E0,-9.208999634E0,1.053600025E1,1.442244918E1
6.146347450E-1,-3.009999990E0,-9.612000465E0,1.014900017E1,1.429870125E1
6.196157610E-1,-2.747999907E0,-1.021000004E1,9.536999702E0,1.423902973E1
6.245966840E-1,-2.595999956E0,-1.108600044E1,8.986000061E0,1.450471712E1
6.295778360E-1,-2.671000004E0,-1.210400009E1,8.439999580E0,1.499582116E1
6.345587750E-1,-3.078999996E0,-1.309200001E1,7.826000214E0,1.556043009E1
6.395400040E-1,-3.450999975E0,-1.394499969E1,7.242000103E0,1.608785203E1
6.445209160E-1,-3.595999956E0,-1.453499985E1,6.624000072E0,1.637299036E1
6.495019160E-1,-3.394999981E0,-1.486499977E1,5.939000130E0,1.636355602E1
6.544828390E-1,-2.819000006E0,-1.506900024E1,5.158999920E0,1.617519118E1
6.594639710E-1,-2.187000036E0,-1.518200016E1,4.520999908E0,1.599110810E1
6.644449730E-1,-1.840999961E0,-1.526900005E1,4.132999897E0,1.592524196E1
6.694258960E-1,-1.804999948E0,-1.541600037E1,3.750999928E0,1.596812740E1
6.744070240E-1,-1.866000056E0,-1.558100033E1,3.326999903E0,1.604114883E1
6.793880260E-1,-1.927999973E0,-1.570699978E1,3.000000000E0,1.610673853E1
6.843689640E-1,-2.003000021E0,-1.583699989E1,2.673000097E0,1.618541023E1
6.893501160E-1,-1.879999995E0,-1.609700012E1,2.308000088E0,1.636993211E1
6.943310410E-1,-1.458999991E0,-1.651000023E1,1.934000015E0,1.668679552E1
